: 1585658952:0;gem install lscolors
: 1601814272:0;gacm "Removed: old model video"
: 1601831003:0;v data
: 1601831540:0;rm -Rf word
: 1601831551:0;rm -Rf theme
: 1601831638:0;v visual/brightness
: 1601831873:0;mv pitch a_pitch
: 1601831885:0;mv sound a_sound
: 1601831896:0;mv timbre a_timbre
: 1601831908:0;mv volume a_volume
: 1601831937:0;mv taste g_taste
: 1601831960:0;mv material k_material
: 1601831974:0;mv touch k_touch
: 1601831985:0;mv weather_and_temperature k_weather_and_temperature
: 1601832040:0;mv brightness v_brightness
: 1601832051:0;mv clarity v_clarity
: 1601832061:0;mv color v_color
: 1601832072:0;mv distance v_distance
: 1601832084:0;mv motion v_motion
: 1601832097:0;mv size v_size
: 1601832107:0;mv shape v_shape
: 1601832116:0;mv qualaties_and_appearance v_qualaties_and_appearance
: 1601832485:0;v audio_digital
: 1601838690:0;rails g model Olfactory word:string
: 1601838711:0;rails g model Auditory word:string
: 1601838733:0;rails g model Kinesthetic word:string
: 1601838750:0;rails g model Visual word:string
: 1601838781:0;rails g model Gustatory word:string
: 1601839998:0;h T -20
: 1601840007:0;add-extension json
: 1601840201:0;v audio_digital.json
: 1601840210:0;rm audio_digital.json
: 1601850144:0;g acm "ADDED: models for modality"
: 1602050195:0;rails g model Sport word:string
: 1602050208:0;v 20201007055638_create_sports.rb
: 1602060409:0;mkd sports
: 1602060423:0;mv sports.json $OLDPWD
: 1602094924:0;v sports.json
: 1602104971:0;qv
: 1602109121:0;cat a_pitch.json
: 1602109180:0;v a_pitch.json
: 1602109198:0;v a_sound.json
: 1602109216:0;v a_timbre.json
: 1602109230:0;v a_volume.json
: 1602109246:0;v g_taste.json
: 1602109264:0;v k_material.json
: 1602109335:0;[A
: 1602109361:0;v k_touch.json
: 1602109407:0;v k_material.json k_weather_and_temperature.json
: 1602109478:0;v v_brightness.json
: 1602109491:0;v v_clarity.json
: 1602109504:0;v v_color.json
: 1602109516:0;v v_distance.json
: 1602109528:0;v v_motion.json
: 1602109539:0;v v_qualaties_and_appearance.json
: 1602109584:0;v v_size.json
: 1602109687:0;rails g model AuditoryPitch word:string
: 1602109723:0;rails g model AuditorySound word:string
: 1602109770:0;rails g model Auditorytimbre word:string
: 1602109861:0;rails g model AuditoryVolume word:string
: 1602109889:0;rails g model GustatoryTaste word:string
: 1602109922:0;rails g model kinestheticMaterial word:string
: 1602109963:0;rails g model kinestheticTouch word:string
: 1602109992:0;rails g model kinestheticWeatherAndTemperature word:string
: 1602110020:0;rails g model VisualBrightness word:string
: 1602110047:0;rails g model VisualClarity word:string
: 1602110065:0;rails g model VisualColor word:string
: 1602110132:0;rails g model VisualDistance word:string
: 1602110148:0;rails g model VisualMotion word:string
: 1602110198:0;rails g model VisualQualatiesAndAppearance word:string
: 1602110213:0;rails g model VisualShape word:string
: 1602110235:0;rails g model VisualSize word:string
: 1602110285:0;v 20201007222808_create_auditory_pitches.rb
: 1602110305:0;v 20201007222843_create_auditory_sounds.rb
: 1602110320:0;v 20201007222931_create_auditorytimbres.rb
: 1602110331:0;v 20201007223102_create_auditory_volumes.rb
: 1602110345:0;v 20201007223130_create_gustatory_tastes.rb
: 1602110367:0;v 20201007223244_create_kinesthetic_touches.rb
: 1602110379:0;v 20201007223202_create_kinesthetic_materials.rb
: 1602110389:0;v 20201007223313_create_kinesthetic_weather_and_temperatures.rb
: 1602110404:0;v 20201007223341_create_visual_brightnesses.rb
: 1602110418:0;v 20201007223407_create_visual_clarities.rb
: 1602110449:0;v 20201007223426_create_visual_colors.rb
: 1602110467:0;v 20201007223533_create_visual_distances.rb
: 1602110492:0;v 20201007223548_create_visual_motions.rb
: 1602110502:0;v 20201007223639_create_visual_qualaties_and_appearances.rb
: 1602110517:0;v 20201007223653_create_visual_shapes.rb
: 1602110528:0;v 20201007223715_create_visual_sizes.rb
: 1602110796:0;v k_weather_and_temperature.json
: 1602110982:0;rm 20201007222931_create_auditorytimbres.rb
: 1602111010:0;rails g model AuditoryTimbre word:string
: 1602111900:0;g clone git@github.com:shadow-chasing/filter.git
: 1602112451:0;v v_shape.json
: 1602115797:0;git acm "removed submodalities"
: 1602118817:0;bundle rails s
: 1602128333:0;rails g model User username:string
: 1602128423:0;rails g model Result username:string user:references
: 1602129044:0;v 20201008034056_create_results.rb
: 1602129709:0;rm 20201008034056_create_results.rb
: 1602129726:0;rails g model Result user:references
: 1602129736:0;rails g model Result user:references --force
: 1602130179:0;g acm "ADDED: added user model and a results assosiation, the results hash two json attributes, they can used as arrays or hashes"
: 1602130240:0;rm youtube_filter
: 1602130245:0;rm i-Rf youtube_filter
: 1602130292:0;v result.rb
: 1602131657:0;v s
: 1602132800:0;g acm "Updated: User model with new attributes"
: 1602133959:0;g acm "AMEND: change the attributes around for user and result"
: 1602134447:0;rails g model YoutubeResult user:references --force
: 1602134654:0;rails g model YoutubeResult user:references
: 1602134668:0;v 20201008040217_create_results.rb
: 1602134702:0;rm 20201008040217_create_results.rb
: 1602134836:0;rm result.rb
: 1602140089:0;g acm "RENAMED: small amendment to User: uploader rename"
: 1602189581:0;g acm "WORKING"
: 1602202119:0;g acm "PREBRANCH"
: 1602213251:0;g acm "Added sensory predicates to modality main 5"
: 1602213262:0;git push -u origin dev
: 1602214754:0;f adorable
: 1602215242:0;d visual.json
: 1602215471:0;f scatter
: 1602216910:0;g acm "Filtering datasets"
: 1602228907:0;g acm "small update"
: 1602228935:0;git merge dev
: 1602229259:0;rm 20201007042607_create_sports.rb
: 1602229276:0;rm sports.json
: 1602229655:0;art
: 1602229659:0;mkd art
: 1602229752:0;v art.json
: 1602230731:0;cat art.json
: 1602230745:0;mv art.json artists.json
: 1602231167:0;v family
: 1602232751:0;g acm "NEW DATASETS\
"
: 1602232998:0;rails g model Football word:string
: 1602233028:0;rails g model Ufc word:string
: 1602233079:0;rails g model Artist word:string
: 1602233140:0;rails g model TvShow word:string
: 1602233155:0;Ufc
: 1602233279:0;rails g model Country word:string
: 1602233396:0;v artists.json
: 1602233983:0;rm football.json
: 1602262360:0;v ar.json
: 1602263878:0;mv art.json painters.json
: 1602264587:0;v poets.json
: 1602264726:0;v boxers.json
: 1602266441:0;v singers.json
: 1602267228:0;g acm "ADDED: new datasets football, ufc, boxing, tvshows, artists, singers, painters"
: 1602267432:0;v actors.json
: 1602267893:0;rm actors.json
: 1602270198:0;rails g model Painter word:string
: 1602271366:0;g clone git@github.com:shadowchaser04/youtube_filter.git
: 1602271375:0;rails c
: 1602271464:0;rails generate subtitles
: 1602281302:0;rails g task subtitle_model_create
: 1602282643:0;rm
: 1602291592:0;rake -T subtitle_model:build
: 1602292119:0;rake subtitle_model:build
: 1602293160:0;v 20201002231556_create_blacklists.rb
: 1602293192:0;v 20201008052415_create_youtube_results.rb
: 1602293734:0;v 20201008033855_create_users.rb
: 1602295117:0;rails g model ballbags word:string--no-timestamps
: 1602295137:0;v 20201010015838_create_ballbags.rb
: 1602295150:0;rm 20201010015838_create_ballbags.rb
: 1602295158:0;rails g model ballbags word:string --no-timestamps
: 1602295171:0;rails g model ball word:string --no-timestamps
: 1602295180:0;v 20201010015932_create_balls.rb
: 1602295193:0;v subtitle_model_create.rake
: 1602295305:0;rm ballbag.rb
: 1602295545:0;cp subtitles.rb $OLDPWD/
: 1602295574:0;rm - lib
: 1602296108:0;rails g task subtitle
: 1602298059:0;g clone git@github.com:shadowchaser04/youtube_filter.git new_name
: 1602298207:0;g acm "INITIAL SETUP"
: 1602298259:0;git remote add origin git@github.com:shadowchaser04/Filter.git
: 1602298704:0;v 20201010025704_create_youtube_results.rb
: 1602299390:0;gem install
: 1602299404:0;gem update
: 1602299504:0;rm Gemfile
: 1602300575:0;g acm "DATASET ADDED: rake subtitles set up now so models can be built as a new dataset is added. and datsets can be built via seed"
: 1602301202:0;g acm "ADDED: README.md"
: 1602301273:0;g clone git@github.com:shadowchaser04/filter.git
: 1602301701:0;mv political_systems.json political_system.json
: 1602301841:0;v 20201010025703_create_users.rb
: 1602302763:0;rake subtitle:user
: 1602303299:0;v 20201010034443_create_tvshows.rb
: 1602303409:0;f twin
: 1602304598:0;echo env['home']
: 1602304629:0;echo env['HOME']
: 1602305695:0;g acm"STATUS-WORKING: user model does not get the has_many added. TODO: log files"
: 1602305731:0;g acm "STATUS-WORKING: user model does not get the has_many added. TODO: log files"
: 1602311562:0;v book.json
: 1602312520:0;g clone git@github.com:shadowchaser04/youtube_filter.git words
: 1602312631:0;g clone git@github.com:shadow-chasing/youtube_filter.git words
: 1602312659:0;v words/scripts/data/word-group/pronoun/
: 1602312881:0;rm -Rf backup-dotfiles
: 1602313078:0;rm -Rf youtube_filter
: 1602313089:0;rm -Rf new_name
: 1602313111:0;rm -Rf daily_log
: 1602313954:0;rake â€ƒ´-dry-run subtitle:nfb
: 1602313973:0;rake subtitle:nfb --dry-run
: 1602317205:0;g acm "TIDY: added a new attribute to the task model User. json accumulator - this is to total all results per week."
: 1602317224:0;3 up
: 1602317238:0;rm filter
: 1602319204:0;rails g migration AddAccumulatorLastUpdatedToUser accumulator_last_update:datetime
: 1602319230:0;v db/migrate/20201010084004_add_accumulator_last_updated_to_user.rb
: 1602324813:0;g acm "ADDED: accumalator on the user model"
: 1602352043:0;mkd transport
: 1602356769:0;g acm "ADDED: new data sets philosophy,actor,director,theatre"
: 1602357769:0;v tvshow.json
: 1602359428:0;mv movie_and_tv movie_and_tv_and_games
: 1602359744:0;mv video_games.json video_game.json
: 1602359758:0;v video_games.json
: 1602360061:0;g acm "ADDED: update to datsets"
: 1602364804:0;f strong
: 1602365328:0;v ufc.json
: 1602369179:0;mkd tech
: 1602369189:0;v programming.json
: 1602369478:0;rm tech
: 1602369562:0;g acm "ADDED: video games"
: 1602369580:0;rm -Rf tech
: 1602379668:0;v cc.json
: 1602380663:0;v tertiary_color.json
: 1602381061:0;v split_complimentary_color.json
: 1602381276:0;v triadic_color.json
: 1602381800:0;v video_game.json
: 1602381842:0;mv tvshow.json tv.json
: 1602381846:0;v tv.json
: 1602381949:0;rm tv.json
: 1602382194:0;g acm "DATASET STUFF"
: 1602382474:0;f gesture
: 1602383962:0;v kinesthetic.json
: 1602393862:0;p[C
: 1602393867:0;pska
: 1602394145:0;youtube-dl -i --dateafter now-4week "https://www.youtube.com/watch?v=rLSm2RSpVKI&list=PLwg4AG1KkgLxZ2RPuELOONAszjFfv5DvT"
: 1602400695:0;v director.json
: 1602400820:0;rm actress.json
: 1602400824:0;cp actor.json actress.json
: 1602400827:0;vimdiff actor.json actress.json
: 1602403922:0;g acm "Added: actress dataset"
: 1602436850:0;g acm "Logging: subtitles error logging"
: 1602439077:0;g acm "Logging: console problems"
: 1602447087:0;https://www.youtube.com/watch?v=GKiQs1dE0Tc
: 1602448475:0;bin/spring stop
: 1602451446:0;gem list G awsome
: 1602451453:0;gem list G awsome_print
: 1602451497:0;h g uninstall
: 1602451528:0;gem uninstall awesome_print -v 1.8.0
: 1602474460:0;g acm "Added: Gem replaced awsome_print for amazing_print"
: 1602486473:0;;1
: 1602495898:0;youtube-dl --skip-download --write-info-json "https://www.youtube.com/playlist?list=PLiDq3dp9FcFYEojGn-oUuAUrC9iKSk8qm"
: 1602496265:0;youtube-dl -i --dateafter now-4week --skip-download --write-info-json "https://www.youtube.com/watch?v=7aNktszr2rA&list=PLwg4AG1KkgLwmzAuPb6RuXEtpLtfdfbF-"
: 1602496309:0;youtube-dl -i --dateafter now-8week --skip-download --write-info-json "https://www.youtube.com/watch?v=7aNktszr2rA&list=PLwg4AG1KkgLwmzAuPb6RuXEtpLtfdfbF-"
: 1602496330:0;youtube-dl -i --dateafter now-20week --skip-download --write-info-json "https://www.youtube.com/watch?v=7aNktszr2rA&list=PLwg4AG1KkgLwmzAuPb6RuXEtpLtfdfbF-"
: 1602544616:0;gs acm "ADDED: new attribute to the User model. video_count and refactored the total script."
: 1602544622:0;g acm "ADDED: new attribute to the User model. video_count and refactored the total script."
: 1602549339:0;g acm "Removed: video games."
: 1602551434:0;youtube-dl -i --skip-download --write-info-json --dateafter now-4week "https://www.youtube.com/c/thetake/videos"
: 1602552555:0;g acm "UPDATE: before branching"
: 1602552585:0;g local-branches
: 1602552591:0;g local-branch
: 1602589332:0;g acm "ADDED: scan now being used for the sentences. more efficient. can be used on the full array in one go by joining the array."
: 1602625846:0;g acm "CLEAN UP: pre branch"
: 1602644268:0;self.group_by(&:itself).transform_values(&:count)
: 1602746039:0;g acm "REFACTOR: rewritten dataset paragraph look up. It now uses the where on the set and passes in the hashed paragraph count as a keys array. lots more efficient"
: 1602764886:0;g acm "STATUS: working; the json needs to be added at the end. the sentences needs to be done"
: 1602817192:0;mkd names
: 1602819536:0;mkd food_and_dining
: 1602822384:0;v boy.json
: 1602822402:0;v girl.json
: 1602822420:0;mv boy_name.json
: 1602822430:0;mv boy.json boy_name.json
: 1602822440:0;mv girl.json girl_name.json
: 1602824072:0;v girl_name.json
: 1602824428:0;vimdiff boy_name.json girl_name.json
: 1602824583:0;rm -Rf names
: 1602824615:0;rm 20201016042739_create_girl_names.rb
: 1602824623:0;rm 20201016042740_create_boy_names.rb
: 1602824665:0;rm girl.rb
: 1602824670:0;rm girl_name.rb
: 1602824673:0;rm boy.rb
: 1602824676:0;rm boy_name.rb
: 1602824747:0;g acm "Added: rank and topten"
: 1602838711:0;g acm "small filter of topics group"
: 1602839404:0;h G pk
: 1602847309:0;g acm "PRE MERGE: merging dev to master"
: 1602847345:0;g pull development
: 1602847379:0;g pull origin development
: 1602910557:0;\v subtitles.rb
: 1602914123:0;g acm "ADDED: log error for eager load, removed some dataset pruneing"
: 1602916515:0;gacm "TIDY"
: 1602923438:0;g acm "ADDED: if statment for logging no file for the json data parser."
: 1602931737:0;g acm "TIDY PRE BRANCH"
: 1602931753:0;g co refactor
: 1602931760:0;g cob refactor
: 1602935210:0;g stash-all lookback
: 1602935301:0;g co 5c62df5
: 1602935403:0;g co 5ccf419
: 1603013412:0;g acm "SUNDAY: tidy up. looking at refatoring. Adding blacklist for the paragraphs."
: 1603087765:0;ruby s
: 1603112076:0;g acm "ADDED: paragraphs now remove the blacklisted word. order and keep the top 10"
: 1603176067:0;https://www.youtube.com/watch?v=JbiJqTBCQuw
: 1603186934:0;git diff master --stat
: 1603186942:0;git diff master
: 1603194252:0;g acm "ADDED: different means of blacklisting the words and counting the topics - faster, more efficient"
: 1603292699:0;vimdiff test.json /Users/shadowchaser/Code/Ruby/Projects/Filter/lib/data/topic/religion_and_spirituality/spirituality.json
: 1603293198:0;vimdiff test.json /Users/shadowchaser/Code/Ruby/Projects/Filter/lib/data/topic/religion_and_spirituality/relision.json
: 1603293229:0;vimdiff test.json /Users/shadowchaser/Code/Ruby/Projects/Filter/lib/data/topic/religion_and_spirituality/religion.json
: 1603293597:0;g acm "ADDED: new words to datasets"
: 1603443418:0;rurby test.rb
: 1603525853:0;v players.json
: 1603526801:0;mv players.json football_player.json
: 1603531583:0;mv litriture.json literature.json
: 1603531792:0;v litriture.json
: 1603536623:0;g diff-staged
: 1603536631:0;g diff-master
: 1603536706:0;g acm "REMOVED: each with object of the para loop. it was reducing down to one hash. added players list and literature list "
: 1603537616:0;v p.json
: 1603543011:0;mv movie.json movie_industry.json
: 1603543017:0;cat movie_industry.json
: 1603543216:0;v movie.json
: 1603554555:0;v countries
: 1603555763:0;mv predicate modality
: 1603558137:0;mkd medical
: 1603558150:0;v psycology.json
: 1603558640:0;mv psycology.json psychology.json
: 1603559966:0;v law.json
: 1603560066:0;mv law.json crime.json
: 1603609943:0;gacm "ADDED: new models movie_industry, crime, psychology, illness"
: 1603643354:0;cc
: 1603648192:0;gacm "ADDED: percentage, modified some datasets"
: 1603740731:0;rm abloom.txt
: 1603740740:0;rm look.txt
: 1604422058:0;v law_enforcment_agencies.json
: 1604422076:0;mv law_enforcment_agencies.json law_enforcment_agency.json
: 1604496277:0;cat law_enforcment_agency.json
: 1604499204:0;v town_and_city.json
: 1604501087:0;git clone https://github.com/martinjc/UK-GeoJSON.git
: 1604516794:0;rm -Rf ideas
: 1604578778:0;cat /var/mail/shadowchaser
: 1604578860:0;v shadowchaser
: 1604578932:0;cat bounds
: 1604579404:0;dirs
: 1604589463:0;tree .rbenv
: 1604589497:0;cat datasets.json
: 1604616068:0;cat subtitles.rb
: 1604616120:0;cat total.rb
: 1604670131:0;v tournements.json
: 1604687077:0;mkd animals
: 1604687088:0;v bird.json
: 1604851549:0;v bumming.json
: 1604852043:0;rm bummings.yml
: 1604852116:0;g acm "UPDATE: new models and datasets"
: 1604884155:0;mv hashtable.rb $OLDPWD
: 1604890292:0;v tennis.json
: 1604891416:0;rm test/fixtures/tennis.yml
: 1604891432:0;rm test/models/tenni_test.rb
: 1604891512:0;g acm "UPDATE: added missing camalize for the model tasks include? and changed root over to Rails inbuilt Rails.root"
: 1604959323:0;v karate.json
: 1604959487:0;rm karate.json
: 1604959513:0;rm app/models/karate.rb
: 1604959524:0;rm test/models/karate_test.rb
: 1604959535:0;rm test/fixtures/karates.yml
: 1604959549:0;rm db/migrate/20201109220240_create_karates.rb
: 1604959757:0;v datasets.json
: 1604959776:0;rm datasets.json
: 1604961189:0;v History
: 1604968280:0;close chrome
: 1604968395:0;pka google-chrome
: 1604968403:0;pka google_chrome
: 1604968411:0;pka "google_chrome"
: 1604968416:0;pka "google-chrome"
: 1604968422:0;pka "google"
: 1604985221:0;gacm "UPDATE"
: 1604985276:0;g 8a2dd7d
: 1604985282:0;g co 8a2dd7d
: 1605022420:0;g acm"ADDED: grab the chrome sqlite history, parse the youtube views. The idea will be to build this into a hourly updater ran by chron tasks to download all youtube viewed subtitles and stored the results in the youtube results table. This may need to store the subtitle results in a result file for the paragraphs. It would also need modifieying the script to be able to loop through the hashed results of the youtube sites titles, urls and counts.\
"
: 1605022444:0;g acm"ADDED: grab the chrome sqlite history, parse the youtube views. The idea will be to build this into a hourly updater ran by chron tasks to download all youtube viewed subtitles and stored the results in the youtube results table. This may need to store the subtitle results in a result file for the paragraphs. It would also need modifieying the script to be able to loop through the hashed results of the youtube sites titles, urls and counts."\
"\
"
: 1605022455:0;g acm"ADDED: grab the chrome sqlite history, parse the youtube views. The idea will be to build this into a hourly updater ran by chron tasks to download all youtube viewed subtitles and stored the results in the youtube results table. This may need to store the subtitle results in a result file for the paragraphs. It would also need modifieying the script to be able to loop through the hashed results of the youtube sites titles, urls and counts."
: 1605022467:0;g acmi "ADDED: grab the chrome sqlite history, parse the youtube views. The idea will be to build this into a hourly updater ran by chron tasks to download all youtube viewed subtitles and stored the results in the youtube results table. This may need to store the subtitle results in a result file for the paragraphs. It would also need modifieying the script to be able to loop through the hashed results of the youtube sites titles, urls and counts."
: 1605022470:0;g acm "ADDED: grab the chrome sqlite history, parse the youtube views. The idea will be to build this into a hourly updater ran by chron tasks to download all youtube viewed subtitles and stored the results in the youtube results table. This may need to store the subtitle results in a result file for the paragraphs. It would also need modifieying the script to be able to loop through the hashed results of the youtube sites titles, urls and counts."
: 1605043531:0;g cob development
: 1605043647:0;git pull origin development
: 1605054001:0;rails g AddToChrome title:string
: 1605054041:0;rails g migration AddToChrome title:string
: 1605054251:0;v db/migrate/20201111002042_add_to_chrome.rb
: 1605064987:0;Â¬l
: 1605073239:0;[Bv
: 1605076232:0;v 20201111000923_create_chromes.rb
: 1605076256:0;v 20201111002042_add_to_chrome.rb
: 1605076275:0;rm 20201111002042_add_to_chrome.rb
: 1605076359:0;g acm "ADDED: chrome history and update."
: 1605078507:0;g push -u origin development
: 1605123192:0;cat ~/Library/Safari/History.db\

: 1605123201:0;find ~/Library/Safari/History.db\

: 1605145069:0;g acm "ADDED: Download youtube urls from the chrome model. Build a file paths hash which has array values containing json, vtt. The key being the directory name."
: 1605149682:0;g acm "ADDED: create the subtitles for each of the filepaths."
: 1605217511:0;g acm "Removed: small un-needed if statment and lots of the code dealing with tallies and anything beyond the paragraphs"
: 1605234809:0;g acm "REFACTORING: before continuing with main."
: 1605244278:0;g acm "CREATED: new class, adding some of the routines as methods."
: 1605259305:0;g acm "ADDED: some basic logging errors to the methods"
: 1605286028:0;g acm "logging in the methods"
: 1605306549:0;g acm "STATUS: working. no db or tallied scores."
: 1605309061:0;v tests.rb
: 1605309202:0;ruby tests.rb
: 1605310002:0;r\uby subtitles.rb
: 1605322431:0;g acm "STATUS: working. it now uploads to the db. it needs to re-add the top ten and i need to create a new db assosiation for the paragraphs"
: 1605323706:0;rails g migration AddTitleToSubtitle title:string
: 1605324200:0;v 20201114030002_create_subtitles.rb
: 1605324228:0;rm 20201114031507_add_title_to_subtitle.rb
: 1605338439:0;g acm"STATUS: working. youtube-dl is acting eraticly though with lots of un-needed shit printed out"
: 1605338446:0;g acm "STATUS: working. youtube-dl is acting eraticly though with lots of un-needed shit printed out"
: 1605401361:0;g acm "STATUS: working. changed @filepaths to a nested hash of hashes. removed some logger error handling for raises in the methods"
: 1605423190:0;g acm "STATUS: partial. The db is building but topten is not being added?"
: 1605423631:0;h G pka
: 1605424026:0;f rectal
: 1605436623:0;ruby total.rb
: 1605461330:0;g acm "UPDATE: update readme"
: 1605477111:0;v total.rb
: 1605477638:0;rm total.rb
: 1605477647:0;rm tests.rb
: 1605477746:0;pka chrome
: 1605477759:0;pgrep google
: 1605477780:0;pgrep google-chrome
: 1605479027:0;chrom -e
: 1605479101:0;v ~/.bin/git_daily_runner.zsh
: 1605480497:0;find ruby
: 1605480716:0;/usr/bin/ruby subtitles.rb
: 1605492728:0;g acm "STATUS:WORKING - removed individual total and added it as a routine. removed tests. cleaned up and seperated out some methods."
: 1605503231:0;g acm "REFACTORING: all methods reworking"
: 1605506622:0;g acm "ADDED: raises on the method and removed the logger.errors "
: 1605518828:0;g acm "REVERTED: droped a method and put it back as a routine in the body of the code."
: 1605543891:0;ruby chrome.rb
: 1605548719:0;g acm "STATUS:WORKING, corrected sentences not having the to_sym. this was stopping sentences being added correctly"
: 1605550391:0;v chrome.rb
: 1605551098:0;mv chrome.rb youtube_history.rb
: 1605554500:0;g acm "STATUS:WORKING, include module YoutubeHistory. This grabs the chrome history and updates the db."
: 1605598777:0;g l H 30
: 1605598781:0;g l H -30
: 1605598855:0;g co e234e99
: 1605598989:0;g co cef31a1
: 1605599057:0;g grep denominat
: 1605599068:0;g grep def
: 1605603754:0;g grep denominat $(git rev-list --all) H -2
: 1605603759:0;g grep denominat $(git rev-list --all) H
: 1605603777:0;g co 3c926badcd2bedd5b2aca75f7c366d7463162a67
: 1605603796:0;g co head
: 1605603808:0;g grep denominat $(git rev-list --all)
: 1605603842:0;g acm "lookback"
: 1605603847:0;g co a15f491b188032e9a32aed860a4aa8fb9e2860b8
: 1605672890:0;g acm "TIDY"
: 1605677344:0;h G moduel
: 1605677408:0;g submodule add git@github.com:shadowchaser04/ctrlp-funky.git
: 1605687287:0;g acm "UPDATE: README.md "
: 1605693652:0;mv README.md $OLDPWD/
: 1605740765:0;g acm "STATUS:WORKING, refactored the datasets"
: 1605743053:0;g acm "more README.md"
: 1605759411:0;g acm "Error Handling"
: 1605759457:0;g cob error_handling
: 1605776856:0;ruby youtube_history.rb
: 1605778425:0;g acm "STATUS:WORKING, updated some methods with beg rescue, raise error."
: 1605778448:0;g push -u origin error_handling
: 1605778584:0;g merge error_handling
: 1605781082:0;cat logfile.log
: 1605783397:0;quit app chrome
: 1605849228:0;g acm "ADDED: comments slowley"
: 1605864571:0;ps ux
: 1605866092:0;g acm "comments"
: 1605866455:0;mkd Lib
: 1605866510:0;mv encryption.rb $OLDPWD/
: 1605866590:0;mv hashtable.rb $OLDPWD/
: 1605866795:0;g acm "REMOVE: unused files."
: 1605868971:0;g acm "all up to date"
: 1605928284:0;g acm "pre branch"
: 1605928972:0;g show b652a6f
: 1605929441:0;cat ~/.pry_history G days
: 1605940608:0;rm ":wq"
: 1606003437:0;g acm "STATUS: logic working, symbols re being converted to strings in the json?"
: 1606003724:0;v 20201012232321_create_youtube_results.rb
: 1606003892:0;g acm "REMODEL youtuberesults"
: 1606003931:0;rm -Rf Filter
: 1606004020:0;h G env
: 1606004051:0;ruby --versionb
: 1606004103:0;git clone git@github.com:shadow-chasing/Filter.git
: 1606004306:0;ps aux | grep spring
: 1606004645:0;g co development
: 1606004660:0;g merge development
: 1606004683:0;rm -Rf filter
: 1606004690:0;g clone git@github.com:shadowchaser04/Filter.git
: 1606048091:0;v logfile.log
: 1606050160:0;g acm "README.md update"
: 1606100835:0;h G grep
: 1606100992:0;ps au
: 1606101920:0;ps aux | grep chrome
: 1606101944:0;kill -9 71719
: 1606101978:0;ps G chrome
: 1606101994:0;pgrep chrome
: 1606102004:0;pgrep Chrome
: 1606102015:0;ps aux | grep Chrome
: 1606102264:0;chron -e
: 1606123475:0;vimdiff profanity_obscene.json profanity_profane.json
: 1606126690:0;ruby subtitles.rb boobs
: 1606128513:0;ruby subtitles.rb pants
: 1606405361:0;ruby subtitles.rb wanker bumhole
: 1606647861:0;lyric i sit with john p watching
: 1606992982:0;g acm "amend datasets"
: 1607001480:0;v logger.rb
: 1607001672:0;mv logger.rb logging.rb
: 1607001806:0;v procces.rb
: 1607001835:0;mv procces.rb process_subtitles.rb
: 1607001978:0;v downloader.rb
: 1607002004:0;mv downloader.rb subtitle_downloader.rb
: 1607003268:0;f module
: 1607003305:0;v youtube_history.rb
: 1607003948:0;f rules
: 1607004863:0;v subtitle
: 1607008795:0;v process_subtitles.rb
: 1607008879:0;mv process_subtitles.rb y_t_process.rb
: 1607008902:0;v subtitle_downloader.rb
: 1607008946:0;mv subtitle_downloader.rb y_t_downloader.rb
: 1607009150:0;mv youtube_history.rb y_t_history.rb
: 1607009339:0;ruby test.rb
: 1607009648:0;f history
: 1607009731:0;f YTProcces
: 1607009957:0;vl
: 1607012506:0;g sb classes
: 1607012587:0;g stash-push
: 1607012683:0;g sb classes stash@1
: 1607012702:0;g sb classes stash@df4cbe6
: 1607012723:0;g sb classes stash@<1>
: 1607012797:0;g acm "pre branch coomit"
: 1607012809:0;g cob classes
: 1607013024:0;g co df4cbe6
: 1607013229:0;g ge
: 1607013280:0;g rh
: 1607013371:0;git add -A && git commit -qm 'WIPE SAVEPOINT' && git reset HEAD~1 --hard
: 1607013456:0;g wipe
: 1607019287:0;v notes
: 1607085021:0;v ~/.notes/gas.md
: 1607085914:0;v helper.rb
: 1607085953:0;mv helper.rb y_t_helper.rb
: 1607086058:0;f helper
: 1607097386:0;rm y_t_helper.rb
: 1607097395:0;f y_t_history.rb
: 1607097589:0;f y_t_history
: 1607097607:0;f y_t_helper
: 1607098158:0;g acm "CHANGED SUBTITLE: from has many to a has one. devided up classes. removed helper. I still need to do the logging again."
: 1607120374:0;mv feedable.rb $OLDPWD
: 1607120389:0;v feedable.rb
: 1607120450:0;mv feedable.rb y_t_helper.rb
: 1607199236:0;g acm "UPDATE: added helper"
: 1607442884:0;gem install pry-rescue -v 1.4.2
: 1607443136:0;rescue ruby subtitles.rb
: 1607443171:0;ruby rescue subtitles.rb
: 1607443280:0;bundle exec rescue subtitles.rb
: 1607443354:0;rescue subtitles.rb
: 1607443548:0;h G uninstall
: 1607443601:0;gem uninstall pry-rescue -v 1.4.0
: 1607443628:0;gem uninstall pry-rescue -v 1.4.2
: 1607463513:0;cat clue.md
: 1607463523:0;rm clue.md
: 1607463527:0;v gas.md
: 1607463540:0;rm gas.md
: 1607463545:0;cat joker.md
: 1607463552:0;rm joker.md
: 1607463634:0;v today.md
: 1607463643:0;rm today.md
: 1607463654:0;cat suspect.md
: 1607463671:0;rm suspect.md
: 1607463683:0;cat recent-movies.md
: 1607463693:0;cat secret-plan.md
: 1607463700:0;rm secret-plan.md
: 1607463720:0;cat who.md
: 1607463743:0;cat scrap.md
: 1607463748:0;rm scrap.md
